月份,區域代碼,區域名稱,配送單量,準時率(%),平均配送時數,異常件數,客訴件數,備註
2026-01,North,北區,17830,97.1,24.5,381,41,
2026-01,Central,中區,11434,96.9,30.5,299,33,
2026-01,South,南區,16359,97.1,30.1,368,50,
2026-01,East,東區,6583,94.4,39.4,302,25,
2026-02,North,北區,17937,97.0,28.1,338,53,
2026-02,Central,中區,11672,97.8,29.8,163,22,
2026-02,South,南區,14639,97.3,32.8,280,30,
2026-02,East,東區,7271,95.0,36.3,217,21,
2026-03,North,北區,18011,96.7,25.5,494,51,
2026-03,Central,中區,12466,97.4,30.0,233,28,
2026-03,South,南區,15393,96.4,30.0,358,40,
2026-03,East,東區,6481,96.2,36.7,182,23,
